state,generator_rows,unique_plants,capacity_mw,energy_capacity_mwh,missing_generator_id
CA,159,142,7811.4,18105.5,0
TX,84,82,3416.3,2928.3,0
AZ,21,21,923.0,252.5,0
FL,14,14,560.7,1217.5,0
NV,8,8,560.0,725.0,0
HI,11,11,361.9,406.3,0
MA,92,90,256.8,549.5,0
CO,7,7,240.2,153.7,0
NM,8,8,237.8,631.3,0
NY,41,39,199.5,389.5,0
IL,6,5,96.1,50.1,0
AK,5,5,91.7,108.9,0
GA,4,4,81.2,164.4,0
NJ,8,8,70.2,45.7,0
NC,17,17,58.3,44.2,0
ME,6,5,48.0,54.0,0
WV,2,2,47.5,28.5,0
OH,7,6,39.8,18.7,0
IN,5,5,36.0,39.6,0
OR,2,2,35.0,125.0,0
PA,3,3,34.6,28.7,0
PR,4,4,32.5,6.9,0
VA,2,2,30.5,24.6,0
AR,3,3,22.0,56.2,0
VT,8,8,20.9,33.3,0
MN,4,4,16.0,33.0,0
MD,3,3,13.7,11.7,0
OK,1,1,10.0,20.0,0
IA,4,4,8.9,7.5,0
WI,3,3,8.9,10.4,0
WA,5,4,6.0,10.8,0
NE,4,4,5.0,11.1,0
SC,1,1,4.0,8.0,0
RI,1,1,3.0,10.0,0
CT,2,2,1.6,6.3,0
MS,1,1,1.5,0.0,0
MI,2,2,1.4,1.5,0
AL,1,1,1.0,2.0,0
MO,1,1,1.0,1.0,0
UT,1,1,1.0,1.0,0
SD,1,1,0.8,0.8,0
LA,1,1,0.5,0.5,0
